### df92b5ab27
### be4dcaf547
Затока Тіггелара
### 6b8e3394b7
Море Лілій
### 868c520024
Лють Птачека
### 21c37585c0
Круча Беннінга
### 9ed44a5afe
Порт Ердонмез
### abc8f511ca
Риф Троянд
### 239c314822
Скелі Петра
### cc044dba31
Підвороння
### d320a3a17a
Безодня Еліфауса
### 5151273dd7
Розлам Чонг Ї
### 5d9d70cb5a
Наклепи
### dad7e359ab
Затока Шляху Коба
### e6f905f6db
Круча Роліаса
### 2659dec168
Бухта Бекера
### d8f7f506e1
Замок Клер
### 2c1a4d9648
Порт Стентон
### b0e8fc6431
Безодня Ахліс
### 119c0e3432
Павутинний Шлях
### 317dde8caa
Різдво
### 707fe63169
Паща Даґана
### b7ea784a86
Колонне Море
### defa37059e
Риф Брока
### db84073558
Риф Скотта
### bed43884be
Порт Лоркінс
### c732a22a6b
Розлам Еліфауса
### 1358c62fed
Кінець Скайлара
### 056fc65ca2
Соляні Степи
### 944e491854
Залізний Квартал
### 046d419bae
Розлам Вінно
### d73c76e7b0
Море Крил
### 695bfec4c0
Бухта Капалки
### 6b43999092
Гавань Святих
### c9bdaefd41
Безодня Канта
### 252292cd60
Адамів Мис
### 61682b9ffb
Бліді Пустища
### 8e42dbb6ab
Містечко Дибала
### 7f9a101c95
Шабельпорт
### b439560069
Край Світанку
### 10da503cd9
Містечко Зело
### 67ccf14585
Затока Коркері
### 71160c7896
Красиві Рифи
### 79f37205db
Попелястий Перешийок
### 70294527ea
Мис Торрі
### dd1e2fc64f
Погибель Адама
### 99d3c9a808
Риф Наблуса
### 71ace41fda
Ноктична Частка
### 9c0b465ee3
Брама Хана
### 02baea751a
Вовчий Розлам
### ae46668585
Вендербайт
### cabeca77fd
Тана-Чук
### 7cb7158ae5
Скеля Ікена
### 1708c5b786
Порт Адді
### e22ea982b2
Мицелігея
### 5118634dd1
Брама Абори
### 4532b08149
Пеннінгтон
### 9195dd0f3c
Полегавань
### 3819288601
Бурекості
### 3badd93b2e
Шлях Юена
### 777cda536c
Тенета
### aec753b3f3
Затока Дейвіса
### d004d3b8d4
Зустріч Апіса
### 36bb49b1e2
Сачатаун
### 556e4335ad
Страйктон
### c5e42d4db8
Острівець Дау
### 7898f7d8ab
Злиття
### c2c7f55f6a
Есхейвен
### 74501b26fa
Депо (A)
### c6f610bcea
Порт Зіл
### d33562d5de
Черепаха
### a06166f34c
Крабовий Коржик
### a7462ca677
Реттсі
### 3ee924e59f
Леопард
### f3cab7c1ab
Покинутий
### ba37d709e2
Таймен
### c2af14b8ee
Незламний
### e4fbe7d23b
Яскравий
### fea11d3101
Тенеб
### 0af99bc6a3
Орел
### ff049dda09
Аптон
### 5b7c6cb414
Вовк
### c9886c3865
Скорися
### 1f5b43d9ab
<i>Сенешаль повела мене на південний бік острова, оминаючи Курячі Ліси. Ми пройшли повз кілька земляних насипів, укріплених смугами грибної плоті, – як я здогадався, це були саморобні стіни.

Поселення вражало: цей бік острова, здавалося, весь оповитий сцинтилаком. Житло кавій було залите срібним фосфоресцентним сяйвом.

Це була велика колонія; найпомітнішим був паровий бот – «Неможливе Ягня»? – що сів на мілину; з нього кавії виходили й заходили, несучи припаси. Праворуч від судна, далі вздовж пляжу, велика група кавій лежала на купах барвистої тканини, скиглячи й голосячи, наче від болю; ліворуч від судна стояв обшарпаний намет із жердин і полотна, перед яким кавії штовхалися одна з одною й гострили зуби.

У центрі села височів накритий поміст, буквально обвішаний барвистою тканиною і охоронюваний пишно оздобленими лицарями. Я запідозрив, що саме тут Король Ласкогриз тримає раду.

«Ласкаво просимо, капітане, до Королівства Кавія, столиці нашого острова, благословенної світлом Ока Нашої Пані». Сенешаль говорила урочисто, але в її словах бриніла нотка смутку. «Принаймні так було, і так буде знову. Мені треба поговорити з нашим Королем і підготувати вашу появу. Мій Паж покаже вам околиці й приведе вас на очі Його Пишноти у належний час. Пажу!»

Значно менший кавій, із хутром, заплетеним тонкою смужкою параболічного полотна, підбіг і вклонився. Сенешаль пішла.</i>
### 0d3f6a8846
Є сім страв, і кожна має назву. Починається все з <i>Першого Дотику до Шкіри</i>: тарілки шовковисто-білої плоті, зануреної в жовтий соус – свіжий, різкий, приголомшливий. Далі йде <i>Боротьба Проти Течії</i>, лютий терин перебивних смаків. Він лишає бенкетників з вологими очима, які тягнуться по вино. Не встигнуть вони отямитися, як перед ними ставлять миски пелегінового супу. <i>«Проковтнуто!»</i> – проголошує Рибник. Смак глибокий, насичений і важкий, він обволікає шлунок. Кілька потопельників підносять миски до губ, щоб зловити останні краплі.

Далі – милосердна перерва. <i>Поверхня, Високо Вгорі</i> – легкий мус, що освіжає піднебіння. Потім настає <i>Втрачений Подих</i> – рулет із ще звивистих щупалець; гіркий на кінчику язика, але залишає довге, м'яке післясмаку, коли ковзає в горло. Передостання страва, <i>Зречення Себе</i>, звита з цукру й хрумка від солі. Кулясті клітки із застиглого сиропу, всередині – вогняні ласощі. Філігрань хрускає між зубами Потопельників. Ласощі зникають у вологих горлянках.

Наостанок – <i>Обіцянка Того, Що Прийде</i> – карамелізований крем незбагненної гостроти, невимовно ваблячий. Бенкетники відкидаються назад, отяжілі. Коли до них повертаються чуття, вони кличуть Рибника й вітають його з бездоганним відтворенням відчуття потоплення в кулінарній формі. «Це було не потоплення, – каже Глибокоріль, і його баритон котиться понад їхнім гомоном. – Це було кохання». Він підносить келих за Рибника.
### f5469e771a
Ізері дістає баночку з тикової шафи й ложку з потьмянілого срібла із шухляди. Кладе їх на стіл перед вами. Ви вискрібаєте залишки багряного меду – ледь повну ложку. Злизуєте дочиста, і спогади підхоплюють вас.

Ви пригадуєте паніку, катастрофу! Розрізнені уламки шаленої втечі. Спека – нестерпна спека! Ви спіткнулися, і брукована самоцвітами бруківка обпекла вам руки. Ви звелися на ноги. Позаду насувалося Військо Гієн, щойно з міста Обережність, що сміялося, вбиваючи.

Крізь розбиту Хурмову Браму, ще встелену трупами. Базальтові стіни за спиною, тепер: чорні на тлі палаючого плеча Гори. І як же вона палала! Яскраво, наче шкіра сонця! Лише окуляри з димчастого скла вберегли ваші очі від википання.

Ви пригадуєте відчайдушну подорож назад униз багряною рікою, на живих політремських кораблях, що тужили за покинутими. Чоловік спирається на поручень: чорна сорочка, церковний комірець-стійка. Ваш наймач, Літтон. Він обертається, щоб поглянути на вас, і в його погляді – спустошення. З лівого борту корабель гине від горя й тоне в червоних-червоних водах.

Спогади слабнуть. Ви повертаєтеся на Котячий Острів. Ізері тут, читає. «А, ви повернулися. Цікаво, чи не так? Хтось намагався викрасти безсмертя Пресвітеріату. Я б сказала, що вони сміливі, але вони зазнали невдачі, а це робить їх дурними. І все ж вони підібралися близько...»

Літтон: це ім'я, яке ви вже чули. Воно належить певній Лютій Філантропці, що мешкає в Порт Карнеліані.
### 461ca7ea14
Світло багаття стає крижано-синім, з ревом розгорається яскравіше. Авантюристка повертається до вас спиною. Вона готує ніж і пістолет. «Я колись присягалася, – зауважує вона, – не вбивати нічого, що літає. Сподіваюся, я порушу цю клятву». Це будуть її останні слова.

Клапоть зоряної ночі з вереском падає з даху! Багаття гасне вмить, але спалах полум'я з пістолета пронизує темряву: раз, іще раз. Ніч тепер кричить, глибокими роздираючими зойками, що майже складаються в слова. Запах льоду й озону нестерпний. Ви наосліп простягаєте руку. Темрява густішає, але Сестра хапає вас за плече. «Не підходьте!» – шипить вона.

Авантюристка викрикує. Ніч теж. Цей останній зойк стискає вам череп, дере мозок і вириває слова з горла. Він трощить бруківку абатського двору. У спалахах останнього пострілу ви на мить бачите гребінчасту хвилю ночі, що здіймається над Авантюристкою. Її крила – це небо. Її роги й пера палають шрамами. Вона б'є – здригається – закручується вихором – і зникає. Ваші очі затуманені інеєм, але коли вона здіймається – ви цілком певні – вона хитається набік, наче одне з її крил отримало удар...

На потрісканій бруківці біля ваших ніг лежить Авантюристка, мертві очі втупились у порожнечу. Поряд лежить її пістолет, оздоблений сріблом, залитий чорною кров'ю. Поки ви дивитесь, кров задушливою парою здіймається з металу, лишаючи його темним, як море.
### 951251b545
<i>Головний Механік повів мене на північний бік острова, оминаючи Курячі Ліси. Ми пройшли повз кілька постів, які інакше й не назвеш, де щури з лютими очима закидали на плече дерінджери й віддавали честь Головному Механіку. Невдовзі ми натрапили на невелику колонію, меншу за деякі кубла, які я бачив у лондонських квартирах: разом хіба з півсотні Rattus Faber, що старанно зміцнювали свій бік острова.</i>

<i>Першим, що я помітив, було яскраве світло, яке било з пня Курячого Дерева заввишки десь у шість футів; воно заливало все поселення чистим блакитним сяйвом, майже засліплюючи. У цьому світлі я міг розгледіти кілька земляних насипів, що натякали на неглибокі тунелі.</i>

<i>Біля води було влаштовано ефективний рибний промисел: щур-альбінос лагодив сіті, а інші встромляли загострені палиці у хвилі. Далі вглиб острова стояли казарми, де сержант гарчав команди на невеликий загін бійців.</i> 

<i>Моя поява привернула увагу, і кілька щурів на хвилю відірвалися від роботи, щоб зацікавлено на мене поглянути.</i>

<i>«Ласкаво просимо до Муринії, – сказав Головний Механік голосом, теплим від гордості. – Зараз тут особливо нема на що дивитися, але буде, щойно ми виженемо кавій. Прогуляйтеся, поки я скликаю воєнну раду».</i>

<i>Із цими словами він зник в одному з насипів і залишив мене оглядати околиці.</i>
### 36817591ee
Коли Сувора Послушниця відводить руки трупа від її грудей, ви бачите: вузлики ростуть в обох долонях, сплощені овали під шкірою.

Великий лущильник Послушниці насилу знаходить, за що зачепитися, – такі вони щільні й вузькі, – та зрештою їй це вдається. Вона наспівує про пляж із цукрового піску й океан карамелі.

Вона довго вовтузиться з окулярами, і тоді пісня стихає. 

Зітхнувши, Послушниця відкидає таємниці вбік. «Вона хотіла вбити чоловіка своєї сестри. Вона не вчинила вбивства, але її руки свербіли зіштовхнути його з балкона їхнього міського будинку».

Навіть звідси ви відчуваєте ту приголомшливу ненависть, мимовільну, як хіть. Точність убивчих фантазій. Подив – бо вона не звикла до таких почуттів. Страх від усвідомлення, що вона на таке здатна. Самовиправдання: мовляв, такі почуття заслужені. П'янке збудження від того, що якесь почуття взагалі буває таким сильним. А тоді знову ненависть—

«Ваш поні зроблений зі свіжоспеченого хліба», – наспівує Послушниця вам на вухо. Ви повертаєтесь у своє тіло. Виявляєте, що стоїте зовсім близько до огидної чорної кульки, наче зібралися підняти й з'їсти її.

«...а масло – його сідло», – заспокійливо наспівує вона, ведучи вас на дальній бік кімнати. Там ви сидите, доки вона не позбавляється тієї штуки, яка нікому не потрібна.
